category,description,authentication,self_serve,api_surface,mcp,buildable,blocker,evidence,app_name,website,error
Support and Helpdesk,Modern customer support platform for Slack/Teams integrations with developer APIs.,API Key,Gated,REST,No,Yes,Partner Access,https://docs.usepylon.com,Pylon,usepylon.com,
Support and Helpdesk,"Helpdesk software with APIs for managing tickets, chats, and calls.",API Key,Yes,REST,No,Yes,None,https://api.postaffiliatepro.com/,LiveAgent,liveagent.com,
Support and Helpdesk,GraphQL-first support platform built for developer teams.,"API Key, OAuth2",Yes,GraphQL,No,Yes,None,https://docs.plain.com/api-reference,Plain,plain.com,
Support and Helpdesk,Helpdesk software providing Mailbox API to manage conversations and customers.,OAuth2,Yes,"REST, Webhooks",No,Yes,None,https://developer.helpscout.com/mailbox-api/,Help Scout,helpscout.com,
Support and Helpdesk,"Ecommerce helpdesk with APIs for managing tickets, customers, and integrations.","API Key, Basic Auth",Yes,"REST, Webhooks",No,Yes,None,https://developers.gorgias.com/,Gorgias,gorgias.com,
Support and Helpdesk,"Customer service platform with APIs for customer profiles, conversations, and tasks.","API Key, Basic Auth",Gated,REST,No,Yes,Enterprise Plan,https://developer.gladly.com/,Gladly,gladly.com,
Communications and Messaging,"Collaborative messaging platform with an extensive API surface for bots, slash commands, and webhooks.","OAuth2, Bot Token",Yes,"REST, Webhooks, Socket Mode",Yes (via MCP server),Yes,None,https://api.slack.com/,Slack,slack.com,
Communications and Messaging,"Cloud communications platform for SMS, voice, and video messaging APIs.","Account SID & Auth Token, API Key",Yes,"REST, Webhooks",No,Yes,None,https://www.twilio.com/docs/usage/api,Twilio,twilio.com,
Communications and Messaging,"Business communication software with APIs for bots, commands, and widgets.",OAuth2,Yes,REST,No,Yes,None,https://www.zoho.com/cliq/help/restapi/,Zoho Cliq,zoho.com/cliq,
Communications and Messaging,"Enterprise collaboration platform with open APIs for messaging, docs, and calendar.","OAuth2, App Access Token",Yes,"REST, Webhooks",No,Yes,Admin Approval,https://open.larksuite.com/document/home/index,Lark (Larksuite),open.larksuite.com,
Communications and Messaging,Team chat application with APIs for custom integrations and webhooks.,API Key,Yes,REST,No,Yes,None,https://pumble.com/developers,Pumble,pumble.com,
Communications and Messaging,"Voice, video, and text communication service with developer APIs for bots and OAuth2.","OAuth2, Bot Token",Yes,"REST, Gateway (WebSockets)",No,Yes,None,https://discord.com/developers/docs/intro,Discord,discord.com,
Communications and Messaging,Cloud-based mobile and desktop messaging app with Bot API and MTProto client API.,"Bot Token, API ID & API Hash",Yes,"REST (Bot API), MTProto",No,Yes,None,https://core.telegram.org/api,Telegram,core.telegram.org,
Communications and Messaging,"APIs to send messages, manage templates, and automate customer support via Meta Developer Portal.","OAuth2, System User Token",Yes,"REST, Webhooks",No,Yes,Business Verification,https://developers.facebook.com/docs/whatsapp,WhatsApp Business,developers.facebook.com/docs/whatsapp,
Communications and Messaging,"Cloud call center platform with APIs for call data, phone numbers, and contacts.","API ID & API Key, OAuth2",Yes,"REST, Webhooks",No,Yes,None,https://developer.aircall.io/,Aircall,aircall.io,
Communications and Messaging,"Communications API platform offering SMS, Voice, Video, and Verification APIs.","API Key & API Secret, JWT",Yes,REST,No,Yes,None,https://developer.vonage.com/,Vonage,developer.vonage.com,
"Marketing, Ads, Email and Social","API to manage Google Ads campaigns, keyword targeting, and performance reporting.","OAuth2, Developer Token",Yes,"gRPC, REST",No,Yes,Developer Token Approval,https://developers.google.com/google-ads/api/docs/start,Google Ads,developers.google.com/google-ads,
"Marketing, Ads, Email and Social","Marketing API to manage Facebook campaigns, custom audiences, and campaign metrics.","OAuth2, Page Access Token",Yes,"REST, Webhooks",No,Yes,App Review,https://developers.facebook.com/docs/marketing-apis,Meta Ads,developers.facebook.com/docs/marketing-apis,
"Marketing, Ads, Email and Social","Marketing Developer Platform for managing LinkedIn ad campaigns, reporting, and audiences.",OAuth2,Gated,REST,No,Yes,Partner Access,https://learn.microsoft.com/en-us/linkedin/shared/references/v2/,LinkedIn Ads,learn.microsoft.com/linkedin/marketing,
"Marketing, Ads, Email and Social","Marketing platform with APIs for managing contacts, calendars, and pipelines.","OAuth2, API Key",Yes,REST,No,Yes,None,https://highlevel.stoplight.io/,GoHighLevel,highlevel.stoplight.io,
"Marketing, Ads, Email and Social","Email marketing service with APIs for lists, campaigns, and reports.","API Key, OAuth2",Yes,"REST, Webhooks",No,Yes,None,https://mailchimp.com/developer/,Mailchimp,mailchimp.com/developer,
"Marketing, Ads, Email and Social","Marketing automation platform with APIs for metrics, profiles, and lists.","API Key, OAuth2",Yes,REST,No,Yes,None,https://developers.klaviyo.com/,Klaviyo,developers.klaviyo.com,
"Marketing, Ads, Email and Social",All-in-one marketing platform with custom API support.,API Key,Yes,REST,No,Yes,None,https://systeme.io/developers,systeme.io,systeme.io,
"Marketing, Ads, Email and Social","Pinterest Developer Platform for boards, pins, and Pinterest ads.",OAuth2,Yes,REST,No,Yes,App Review,https://developers.pinterest.com/,Pinterest,developers.pinterest.com,
"Marketing, Ads, Email and Social","Threads API to publish posts, manage media, and fetch user data.",OAuth2,Yes,REST,No,Yes,App Review,https://developers.facebook.com/docs/threads,Threads (Meta),developers.facebook.com/docs/threads,
"Marketing, Ads, Email and Social",Transactional email service with API for email campaigns and templates.,API Key,Yes,REST,No,Yes,None,https://sendgrid.com/docs/API_Reference/index.html,SendGrid,sendgrid.com,
Ecommerce,Robust e-commerce platform offering REST and GraphQL Admin APIs.,"Access Token, OAuth2",Yes,"GraphQL, REST, Webhooks",No,Yes,None,https://shopify.dev/docs/api/admin-rest,Shopify,shopify.dev,
Ecommerce,Open-source e-commerce plugin for WordPress with fully documented REST API.,"OAuth 1.0a, Consumer Key & Secret",Yes,REST,No,Yes,None,https://woocommerce.com/document/woocommerce-rest-api/,WooCommerce,woocommerce.com/document/woocommerce-rest-api,
Ecommerce,Hosted e-commerce platform with robust REST APIs for catalogs and orders.,"OAuth2, Client ID & Access Token",Yes,"REST, GraphQL",No,Yes,None,https://developer.bigcommerce.com/,BigCommerce,developer.bigcommerce.com,
Ecommerce,Enterprise-grade Commerce Cloud API for custom storefront integrations.,OAuth2,Gated,REST,No,Yes,Enterprise Plan,https://developer.salesforce.com/docs/commerce,Salesforce Commerce Cloud,developer.salesforce.com/docs/commerce,
Ecommerce,Adobe Commerce API offering comprehensive REST and GraphQL schemas.,"OAuth 1.0a, Admin Token",Yes,"REST, GraphQL",No,Yes,None,https://developer.adobe.com/commerce/,Magento (Adobe Commerce),developer.adobe.com/commerce,
Ecommerce,"Website builder offering inventory, order, and transactions APIs.","API Key, OAuth2",Yes,REST,No,Yes,None,https://developers.squarespace.com/,Squarespace,developers.squarespace.com,
Ecommerce,E-commerce widget with fully-featured REST API for inventory and orders.,OAuth2,Yes,"REST, Webhooks",No,Yes,None,https://api-docs.ecwid.com/,Ecwid,api-docs.ecwid.com,
Ecommerce,"E-commerce for creators with APIs to manage products, sales, and licenses.","OAuth2, Access Token",Yes,REST,No,Yes,None,https://gumroad.com/api,Gumroad,gumroad.com/api,
Ecommerce,"REST-based API that helps Amazon sellers programmatically exchange data on orders, shipments, and inventory.","Login with Amazon (LWA) OAuth2, AWS IAM",Gated,REST,No,Yes,Seller Account Verification,https://developer-docs.amazon.com/sp-api,Amazon Selling Partner,developer-docs.amazon.com/sp-api,
Ecommerce,Creator-commerce platform for experiences and digital goods with custom API endpoints.,API Key,Gated,REST,No,Yes,Partner Access,https://fanbasis.com/docs,fanbasis,fanbasis.com,
"Data, SEO and Scraping","APIs providing SEO, SERP, keyword, and merchant data.",Basic Auth,Yes,REST,No,Yes,None,https://docs.dataforseo.com/,DataForSEO,docs.dataforseo.com,
"Data, SEO and Scraping","SEO software platform offering API access for keywords, rankings, and audits.",API Key,Yes,REST,No,Yes,None,https://seranking.com/api.html,SE Ranking,seranking.com/api,
"Data, SEO and Scraping","SEO toolset providing API V3 to fetch backlink, keyword, and ranking data.","API Key, OAuth2",Yes,REST,No,Yes,Enterprise Plan,https://ahrefs.com/api,Ahrefs,ahrefs.com/api,
"Data, SEO and Scraping",Visual web scraper offering APIs to run scrapers and download data.,API Key,Yes,REST,No,Yes,None,https://docs.mrscraper.com/,MrScraper,docs.mrscraper.com,
"Data, SEO and Scraping",Cloud platform for web scraping and data extraction with comprehensive actor APIs.,API Key,Yes,"REST, Webhooks",No,Yes,None,https://docs.apify.com/api/,Apify,docs.apify.com,
"Data, SEO and Scraping",API service to crawl any website and turn it into clean markdown or structured JSON.,API Key,Yes,REST,No,Yes,None,https://docs.firecrawl.dev/,Firecrawl,firecrawl.dev,
"Data, SEO and Scraping","Web data platform offering proxy APIs, scraper APIs, and pre-collected datasets.",API Key,Yes,REST,No,Yes,None,https://brightdata.com/products/web-scraper,Bright Data,brightdata.com,
"Data, SEO and Scraping",Open-source command-line tool to hunt down social media accounts by username.,None,Yes,CLI,No,Yes,None,https://github.com/sherlock-project/sherlock,Sherlock,github.com/sherlock-project/sherlock,
"Data, SEO and Scraping",Company and contact data enrichment API for sales intelligence.,API Key,Gated,REST,No,Yes,Enterprise Plan,https://waterfall.io/,Waterfall.io,waterfall.io,
"Data, SEO and Scraping",Data enrichment and outreach tool with custom programmatic data source APIs.,API Key,Yes,REST,No,Yes,None,https://clay.com/docs,Clay,clay.com,
"Developer, Infra and Data platforms","Developer platform with comprehensive REST and GraphQL APIs for repository, issue, and workflow management.","OAuth2, Personal Access Token (PAT), GitHub App Token",Yes,"REST, GraphQL, Webhooks",Yes (via MCP server),Yes,None,https://docs.github.com/rest,GitHub,docs.github.com/rest,
"Developer, Infra and Data platforms",Frontend cloud platform with REST APIs for deployment and project management.,"Bearer Token, OAuth2",Yes,REST,No,Yes,None,https://vercel.com/docs/rest-api,Vercel,vercel.com/docs/rest-api,
"Developer, Infra and Data platforms","Web hosting and automation platform offering APIs for sites, deployments, and users.","Personal Access Token, OAuth2",Yes,REST,No,Yes,None,https://docs.netlify.com/api/get-started/,Netlify,docs.netlify.com/api,
"Developer, Infra and Data platforms","Web infrastructure and security provider with extensive APIs for DNS, workers, and CDN.","API Token, Global API Key",Yes,REST,No,Yes,None,https://developers.cloudflare.com/api/,Cloudflare,developers.cloudflare.com/api,
"Developer, Infra and Data platforms",Open-source Firebase alternative providing auto-generated REST and GraphQL APIs on PostgreSQL.,"JWT, API Key",Yes,"REST, GraphQL, WebSockets",No,Yes,None,https://supabase.com/docs,Supabase,supabase.com/docs,
"Developer, Infra and Data platforms",Graph database with Bolt protocol and REST APIs for graph queries and admin operations.,"Basic Auth, Bearer Token",Yes,"REST, Bolt (gRPC-like)",No,Yes,None,https://neo4j.com/docs/api/,Neo4j,neo4j.com/docs/api,
"Developer, Infra and Data platforms",Cloud data platform offering SQL REST API for executing queries and fetching datasets.,"Key-Pair Auth, OAuth2",Yes,REST (SQL API),No,Yes,None,https://docs.snowflake.com/en/developer-guide/sql-api/index,Snowflake,docs.snowflake.com,
"Developer, Infra and Data platforms",Database-as-a-service offering Atlas Administration API and Data API (REST).,"API Key, Bearer Token",Yes,REST (Data API),No,Yes,None,https://mongodb.com/docs/atlas/api/,MongoDB Atlas,mongodb.com/docs/atlas/api,
"Developer, Infra and Data platforms","Observability and security platform offering APIs for sending metrics, logs, and query results.","API Key, Application Key",Yes,REST,No,Yes,None,https://docs.datadoghq.com/api/,Datadog,docs.datadoghq.com/api,
"Developer, Infra and Data platforms","Error tracking and performance monitoring platform with APIs for issues, events, and releases.",Bearer Token,Yes,"REST, Webhooks",No,Yes,None,https://docs.sentry.io/api/,Sentry,docs.sentry.io/api,
Productivity and Project Management,"Workspace for notes, tasks, databases, and collaboration with Notion API.","OAuth2, Internal Integration Token",Yes,REST,Yes (via MCP server),Yes,None,https://developers.notion.com/,Notion,developers.notion.com,
Productivity and Project Management,Low-code platform for building collaborative apps and databases with auto-generated REST APIs.,"Personal Access Token, OAuth2",Yes,"REST, Webhooks",No,Yes,None,https://airtable.com/developers,Airtable,airtable.com/developers,
Productivity and Project Management,Issue tracker for high-performance teams with GraphQL API and Webhooks.,"OAuth2, Personal API Key",Yes,"GraphQL, Webhooks",No,Yes,None,https://developers.linear.app/,Linear,developers.linear.app,
Productivity and Project Management,Project tracking software for agile teams with fully-featured Jira Cloud REST APIs.,"OAuth2, Basic Auth (API Token)",Yes,"REST, Webhooks",No,Yes,None,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,Jira,developer.atlassian.com,
Productivity and Project Management,"Work management platform with REST API to programmatically manage projects, tasks, and users.","OAuth2, Personal Access Token",Yes,"REST, Webhooks",No,Yes,None,https://developers.asana.com/,Asana,developers.asana.com,
Productivity and Project Management,"Work OS platform with GraphQL API to manage boards, items, and workspace data.","API Token, OAuth2",Yes,"GraphQL, Webhooks",No,Yes,None,https://developer.monday.com/,Monday.com,developer.monday.com,
Productivity and Project Management,"Productivity platform with a robust REST API to handle tasks, lists, folders, and workspaces.","OAuth2, Personal API Token",Yes,"REST, Webhooks",No,Yes,None,https://clickup.com/api,ClickUp,clickup.com/api,
Productivity and Project Management,"Doc platform with APIs to programmatically read and write to docs, tables, and formulas.","API Token, OAuth2",Yes,REST,No,Yes,None,https://coda.io/developers,Coda,coda.io/developers,
Productivity and Project Management,"Work platform offering APIs to read/write sheets, manage attachments, and configure automation.","OAuth2, Personal Access Token",Yes,REST,No,Yes,None,https://smartsheet.com/developers,Smartsheet,smartsheet.com/developers,
Productivity and Project Management,Time tracking and invoicing tool with REST API for time entries and expenses.,"OAuth2, Personal Access Token",Yes,REST,No,Yes,None,https://help.getharvest.com/api-v2/,Harvest,harvestapp.com,
Finance and Fintech,Online payment processing API built for developer integrations.,"API Key, Restricted Token, OAuth2",Yes,"REST, Webhooks",No,Yes,None,https://stripe.com/docs/api,Stripe,stripe.com/docs/api,
Finance and Fintech,Financial technology platform enabling bank integrations and API-based credential exchange.,"Client ID & Secret, Access Token",Yes,REST,No,Yes,Compliance Approval,https://plaid.com/docs/,Plaid,plaid.com/docs,
Finance and Fintech,Cryptocurrency exchange offering REST APIs for trading and market data.,"API Key & Secret Key, HMAC-SHA256",Yes,"REST, WebSockets",No,Yes,None,https://binance-docs.github.io/,Binance,binance-docs.github.io,
Finance and Fintech,NMI-powered payment gateway integration API.,API Key,Gated,REST,No,Yes,Partner Access,https://www.paygent.com/development,Paygent Connect,paygent,
Finance and Fintech,Electronic bill presentment and payment APIs.,API Key,Gated,REST,No,Yes,Enterprise Plan,https://ipayx.ai/docs,iPayX,ipayx.ai/docs,
Finance and Fintech,Accounting platform offering QuickBooks Online REST API for invoices and transactions.,OAuth2,Yes,REST,No,Yes,None,https://developer.intuit.com/,QuickBooks,developer.intuit.com,
Finance and Fintech,"Cloud accounting software with OAuth2 APIs for invoices, contacts, and reports.",OAuth2,Yes,"REST, Webhooks",No,Yes,None,https://developer.xero.com/,Xero,developer.xero.com,
Finance and Fintech,Corporate card and spend platform with developer APIs for transactions and users.,"User Token, OAuth2",Yes,REST,No,Yes,None,https://developer.brex.com/,Brex,developer.brex.com,
Finance and Fintech,"Finance automation platform with API access for cards, transactions, and expenses.","OAuth2, Client Secret",Yes,REST,No,Yes,None,https://docs.ramp.com/,Ramp,docs.ramp.com,
Finance and Fintech,Private market financial data provider offering research APIs.,API Key,Gated,REST,No,Yes,Enterprise Plan,https://pitchbook.com/products/api,PitchBook,pitchbook.com,
"AI, Research and Media-native",AI research assistant powered by Google Gemini Enterprise API.,"API Key, OAuth2",Yes,REST,No,Yes,None,https://cloud.google.com/gemini,NotebookLM,cloud.google.com/gemini,
"AI, Research and Media-native",Meeting recording and transcription tool with MCP server integration support.,API Key,Gated,REST,Yes (via MCP server),Yes,Partner Access,https://help.otter.ai,Otter AI,help.otter.ai,
"AI, Research and Media-native",AI meeting recorder with APIs for fetching call data and transcripts.,API Key,Gated,REST,No,Yes,Partner Access,https://fathom.video/,Fathom,fathom.video,
"AI, Research and Media-native",AI search engine for scientific research with OAuth2 integration.,OAuth2,Gated,REST,No,Yes,Partner Access,https://consensus.app/,Consensus,consensus.app,
"AI, Research and Media-native",Document parsing and layout extraction API for PDFs.,API Key,Yes,REST,No,Yes,None,https://reducto.ai/,Reducto,reducto.ai,
"AI, Research and Media-native",Autonomous AI software engineer with MCP server integration interface.,API Key,Gated,REST,Yes (via MCP server),Yes,Enterprise Plan,https://docs.devin.ai/,Devin,docs.devin.ai,
"AI, Research and Media-native",AI content creation suite with CLI and programmatic API endpoints.,API Key,Gated,"REST, CLI",No,Yes,Partner Access,https://higgsfield.ai/cli,higgsfield,higgsfield.ai/cli,
"AI, Research and Media-native","Command-line tool to compile Mermaid definitions into images (PNG, SVG, PDF).",None,Yes,CLI,No,Yes,None,https://github.com/mermaid-js/mermaid-cli,Mermaid CLI,github.com/mermaid-js/mermaid-cli,
"AI, Research and Media-native",Developer API to fetch raw transcriptions and timed text of YouTube videos.,API Key,Yes,REST,No,Yes,None,https://transcriptapi.com/,YouTube Transcript,transcriptapi.com,
"AI, Research and Media-native",Meeting recording and transcription tool with APIs to sync notes to CRMs.,"API Key, OAuth2",Yes,REST,No,Yes,None,https://grain.com/,Grain,grain.com,
